6132-5,913419,04-02-2016,5
8947-7,830050,16-02-2016,5
5134-2,830050,21-02-2016,2
4289-k,618300,09-03-2016,4
5266-3,280785,25-03-2016,1
5180-7,570532,26-03-2016,4
4844-7,227482,04-04-2016,5
1365-9,381126,05-04-2016,4
5180-7,381126,16-04-2016,2
8576-0,291843,19-04-2016,5
8076-9,291843,24-04-2016,5
4517-7,570532,10-05-2016,4
6832-k,830050,10-05-2016,3
7022-6,888394,20-05-2016,1
4638-4,913419,28-05-2016,3
1174-4,830050,30-05-2016,2
8576-0,381126,30-05-2016,1
4844-7,227482,09-06-2016,3
5375-6,227482,10-06-2016,1
8576-0,913419,11-06-2016,2
8932-3,349135,14-06-2016,3
6132-5,280785,27-06-2016,1
8932-3,928480,08-07-2016,1
4418-7,618300,26-07-2016,5
5180-7,913419,26-07-2016,4
1685-8,101280,11-08-2016,5
5279-0,280785,22-08-2016,4
6553-0,570532,26-08-2016,2
2601-6,381126,03-09-2016,1
6986-3,159852,04-09-2016,5
5279-0,280785,14-09-2016,3
6832-k,861428,19-09-2016,3
8481-9,888394,28-09-2016,1
5266-3,349135,04-10-2016,1
6553-0,227482,08-10-2016,5
5134-2,966329,09-10-2016,5
1159-7,888394,23-10-2016,3
6553-0,965247,26-10-2016,4
1365-9,965247,28-10-2016,4
2629-0,349135,31-10-2016,1
3750-8,965247,06-11-2016,5
8700-5,381126,07-11-2016,5
4638-4,280785,09-11-2016,1
7152-2,280785,14-11-2016,3
6553-0,349135,30-11-2016,4
6553-0,185545,11-12-2016,2
5266-3,966329,18-12-2016,5
8700-5,159852,18-12-2016,2
6998-8,618300,04-01-2017,4
5388-6,475165,08-01-2017,2
1581-3,888394,15-01-2017,5
3668-5,475165,24-01-2017,5
6998-8,830050,28-01-2017,3
5266-3,291843,28-01-2017,5
8576-0,830050,03-02-2017,5
6553-0,830050,10-02-2017,3
7311-3,101280,01-03-2017,1
8576-0,291843,22-03-2017,4
8576-0,159852,01-04-2017,5
5388-6,966329,02-04-2017,2
7152-2,280785,03-04-2017,3
8425-0,913419,15-04-2017,2
6553-0,861428,17-04-2017,4
2601-6,928480,03-05-2017,4
4289-k,888394,14-05-2017,3
5279-0,966329,09-06-2017,2
1365-9,570532,17-06-2017,3
8932-3,684467,01-07-2017,1
4418-7,966329,15-07-2017,1
3668-5,888394,21-07-2017,4
5134-2,291843,30-07-2017,2
5352-5,681157,01-08-2017,4
8076-9,781552,21-08-2017,1
4289-k,227482,01-09-2017,3
2923-1,888394,04-09-2017,2
8481-9,159852,06-09-2017,2
1365-9,101280,13-09-2017,4
8187-k,101280,14-09-2017,5
4517-7,913419,18-09-2017,1
4844-7,913419,03-10-2017,2
8040-1,570532,05-10-2017,1
5388-6,291843,08-10-2017,3
7152-2,185545,16-10-2017,1
1174-4,928480,16-10-2017,5
5134-2,913419,19-10-2017,4
1685-8,349135,05-11-2017,1
4844-7,280785,23-11-2017,3
6832-k,570532,16-12-2017,4
8932-3,861428,30-12-2017,4
5180-7,381126,07-01-2018,3
1159-7,618300,10-01-2018,5
1685-8,965247,22-01-2018,4
2923-1,681157,25-01-2018,2
7311-3,349135,26-01-2018,1
5266-3,475165,12-02-2018,1
4517-7,349135,13-02-2018,1
8040-1,291843,02-03-2018,5
6832-k,159852,19-03-2018,1
4844-7,185545,20-03-2018,5
8947-7,381126,27-03-2018,4
